Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,8,speed_08,149,0.012481,-2.000000,0.000000,18.000000,3.070928,31.600000,673,1040.000000,3.818115,657,940.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,9,speed_09,119,0.012491,-2.460000,0.681469,17.540000,2.972055,40.200000,660,1058.000000,3.721274,655,958.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,10,speed_10,143,0.012332,-1.555000,0.875343,18.445000,2.630608,22.600000,673,726.000000,3.317623,663,626.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,11,speed_11,193,0.012390,-2.000000,0.000000,18.000000,2.729596,39.200000,661,753.000000,3.434826,661,653.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,12,speed_12,128,0.012472,-2.240000,0.407922,17.760000,2.241684,37.800000,661,749.000000,2.925727,661,649.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,13,speed_13,338,0.012386,-2.000000,0.000000,18.000000,3.080438,31.000000,672,746.000000,3.798461,661,646.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,14,speed_14,96,0.012434,-1.160000,0.307246,18.840000,2.301898,39.200000,660,1078.000000,3.093894,655,978.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,15,speed_15,84,0.012476,-2.020000,0.227156,17.980000,2.050980,31.000000,661,752.000000,2.779371,661,652.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,16,speed_16,122,0.012439,-1.000000,0.000000,19.000000,2.748249,28.200000,661,717.000000,3.443490,663,617.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,17,speed_17,122,0.012403,-2.000000,0.000000,18.000000,2.379655,28.200000,660,781.000000,3.099560,661,681.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,18,speed_18,92,0.012489,-1.620000,0.891964,18.380000,2.116057,28.600000,673,1072.000000,2.921814,655,972.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,19,speed_19,184,0.012418,-2.000000,0.000000,18.000000,2.405099,34.800000,660,789.000000,3.112666,661,689.000000
middlefinger_speed500_force100_20trials_20260303-173158.csv,speed,speed500,500,100,60,20,speed_20,109,0.012456,-1.000000,0.000000,19.000000,2.366297,31.400000,661,748.000000,3.060970,661,648.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,1,speed_01,214,0.012319,-2.000000,0.000000,18.000000,2.658046,26.000000,658,1696.000000,3.463748,644,1596.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,2,speed_02,91,0.024436,-2.000000,0.000000,18.000000,2.390878,69.200000,647,1620.000000,3.240375,644,1520.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,3,speed_03,132,0.012444,-2.480000,0.727736,17.520000,3.137985,26.000000,657,1610.000000,3.961204,645,1510.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,4,speed_04,140,0.012462,-2.000000,0.000000,18.000000,2.678985,61.600000,657,1625.000000,3.485610,644,1525.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,5,speed_05,139,0.012410,-2.000000,0.236643,18.000000,2.043255,70.400000,655,1648.000000,2.859931,644,1548.000000
middlefinger_speed750_force100_20trials_20260303-172149.csv,speed,speed750,750,100,60,6,speed_06,110,0.012467,-1.860000,0.180000,18.140000,2.256632,72.000000,647,1674.000000,3.061521,644,1574.000000
